REDE;SUBREDE;TIPO;CÓDIGO;CLIENTE;BAIRRO;CIDADE;CLASSE ;LATITUDE;LONGITUDE;PRODUTO;VENDA;DEVOLUÇÃO;% DEV
CENTERBOX;-;REDE;172;CENTERBOX - PRQ SAO JOSE;PARQUE SAO JOSE;FORTALEZA;C;-3.8003218;-38.5880765;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 83,40;R$ 29,29;35,12%
CENTERBOX;-;REDE;172;CENTERBOX - PRQ SAO JOSE;PARQUE SAO JOSE;FORTALEZA;C;-3.8003218;-38.5880765;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 150,22;R$ 0,00;0,00%
CENTERBOX;-;REDE;172;CENTERBOX - PRQ SAO JOSE;PARQUE SAO JOSE;FORTALEZA;C;-3.8003218;-38.5880765;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 88,00;R$ 27,35;31,08%
CENTERBOX;-;REDE;172;CENTERBOX - PRQ SAO JOSE;PARQUE SAO JOSE;FORTALEZA;C;-3.8003218;-38.5880765;RICOTA VALE MILK 200G;R$ 51,96;R$ 0,00;0,00%
-;SUPERMERCADO BAHAMAS;SUBREDE;181;SUPER CAUCAIA - LJ 01;CENTRO;CAUCAIA;C;-3.73546304;-38.65846975;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 239,94;R$ 24,00;10,00%
-;SUPERMERCADO BAHAMAS;SUBREDE;181;SUPER CAUCAIA - LJ 01;CENTRO;CAUCAIA;C;-3.73546304;-38.65846975;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 218,94;R$ 0,00;0,00%
-;SUPERMERCADO BAHAMAS;SUBREDE;181;SUPER CAUCAIA - LJ 01;CENTRO;CAUCAIA;C;-3.73546304;-38.65846975;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 353,25;R$ 53,10;15,03%
-;SUPERMERCADO BAHAMAS;SUBREDE;181;SUPER CAUCAIA - LJ 01;CENTRO;CAUCAIA;C;-3.73546304;-38.65846975;RICOTA VALE MILK 200G;R$ 54,23;R$ 10,96;20,21%
CENTERBOX;-;REDE;182;CENTERBOX - PARQUELANDIA;PARQUELANDIA;FORTALEZA;B;-3.7429477;-38.5599157;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 342,60;R$ 0,00;0,00%
CENTERBOX;-;REDE;182;CENTERBOX - PARQUELANDIA;PARQUELANDIA;FORTALEZA;B;-3.7429477;-38.5599157;RICOTA VALE MILK 200G;R$ 217,73;R$ 28,59;13,13%
REDE UNIFORCA;EXITO;SUBREDE;193;EXITO - MONTE CASTELO;PRESIDENTE KENNEDY;FORTALEZA;B;-3.7211932;-38.5583364;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 204,25;R$ 42,83;20,97%
REDE UNIFORCA;EXITO;SUBREDE;193;EXITO - MONTE CASTELO;PRESIDENTE KENNEDY;FORTALEZA;B;-3.7211932;-38.5583364;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 202,59;R$ 54,04;26,67%
CENTERBOX;-;REDE;196;CENTERBOX - PANAMERICANO;BELA VISTA;FORTALEZA;C;-3.7548351;-38.5561623;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 38,26;R$ 56,95;148,87%
CENTERBOX;-;REDE;196;CENTERBOX - PANAMERICANO;BELA VISTA;FORTALEZA;C;-3.7548351;-38.5561623;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 103,53;R$ 0,00;0,00%
CENTERBOX;-;REDE;196;CENTERBOX - PANAMERICANO;BELA VISTA;FORTALEZA;C;-3.7548351;-38.5561623;QUEIJO MINAS FRESCAL ZERO VALE MILK 250G;R$ 86,65;R$ 123,72;142,78%
CENTERBOX;-;REDE;196;CENTERBOX - PANAMERICANO;BELA VISTA;FORTALEZA;C;-3.7548351;-38.5561623;RICOTA VALE MILK 200G;R$ 190,00;R$ 0,00;0,00%
CENTERBOX;-;REDE;212;CENTERBOX - MESSEJANA - LJ 01;MESSEJANA;FORTALEZA;B;-3.8185168;-38.4971878;QUEIJO MINAS FRESCAL LIGHT VALE MILK 250G;R$ 78,23;R$ 0,00;0,00%
CENTERBOX;-;REDE;212;CENTERBOX - MESSEJANA - LJ 01;MESSEJANA;FORTALEZA;B;-3.8185168;-38.4971878;QUEIJO MINAS FRESCAL TRAD VALE MILK 250G;R$ 155,14;R$ 0,00;0,00%
